transaction_id,date,amount,merchant,mode,type,category,narration,user_id,account_id,is_fraud
1,2025-11-16,331.08,Uber,UPI,debit,Transport,Ride sharing,1,1,0
2,2025-11-15,726.25,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
3,2025-11-15,176.05,Uber,UPI,debit,Transport,Ride sharing,1,1,0
4,2025-11-14,467.52,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
5,2025-11-14,953.82,DMart,Card,debit,Groceries,Grocery shopping,1,1,0
6,2025-11-14,271.39,Starbucks,Card,debit,Food & Drink,Cafe,1,1,0
7,2025-11-13,465.66,McDonald's,Card,debit,Food & Drink,Fast food,1,1,0
8,2025-11-13,23267.02,Rent Payment,NEFT,debit,Rent/EMI,Monthly rent,1,1,1
9,2025-11-13,548.43,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
10,2025-11-12,579.44,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
11,2025-11-12,838.56,Internet Bill,NEFT,debit,Uncategorized,Utility bill,1,1,0
12,2025-11-11,2666.76,Electricity Bill,NEFT,credit,Utilities,Utility bill,1,1,0
13,2025-11-11,389.3,PVR Cinemas,Card,debit,Uncategorized,Entertainment,1,1,0
14,2025-11-11,417.83,McDonald's,Card,debit,Food & Drink,Fast food,1,1,0
15,2025-11-10,1028.45,Internet Bill,NEFT,debit,Uncategorized,Utility bill,1,1,0
16,2025-11-09,306.42,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
17,2025-11-09,318.97,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
18,2025-11-09,308.08,Zomato,UPI,debit,Food & Drink,Food delivery,1,1,0
19,2025-11-08,21459.67,Rent Payment,NEFT,debit,Rent/EMI,Monthly rent,1,1,1
20,2025-11-08,1208.2,Internet Bill,NEFT,debit,Uncategorized,Utility bill,1,1,0
21,2025-11-07,993.01,Amazon Pay,UPI,debit,Shopping,Online shopping,1,1,0
22,2025-11-06,388.76,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
23,2025-11-06,195.07,Ola,UPI,debit,Transport,Ride sharing,1,1,0
24,2025-11-04,16725.3,Rent Payment,NEFT,debit,Rent/EMI,Monthly rent,1,1,1
25,2025-11-01,602.91,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
26,2025-11-01,212.47,Amazon Pay,UPI,debit,Shopping,Online shopping,1,1,0
27,2025-11-01,2970.67,Electricity Bill,NEFT,debit,Utilities,Utility bill,1,1,0
28,2025-10-31,2548.55,Electricity Bill,NEFT,debit,Utilities,Utility bill,1,1,0
29,2025-10-31,502.84,Zomato,UPI,debit,Food & Drink,Food delivery,1,1,0
30,2025-10-30,2703.09,Flipkart,UPI,debit,Shopping,Online shopping,1,1,0
31,2025-10-30,21803.23,Rent Payment,NEFT,debit,Rent/EMI,Monthly rent,1,1,1
32,2025-10-30,641.08,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
33,2025-10-28,371.51,Starbucks,Card,debit,Food & Drink,Cafe,1,1,0
34,2025-10-26,865.42,Flipkart,UPI,debit,Shopping,Online shopping,1,1,0
35,2025-10-26,184.9,Starbucks,Card,credit,Food & Drink,Cafe,1,1,0
36,2025-10-25,576.2,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
37,2025-10-25,127.34,Amazon Pay,UPI,debit,Shopping,Online shopping,1,1,0
38,2025-10-25,3031.49,Insurance Premium,NEFT,debit,Rent/EMI,Insurance,1,1,0
39,2025-10-24,1164.88,Electricity Bill,NEFT,debit,Utilities,Utility bill,1,1,0
40,2025-10-24,272.6,Uber,UPI,debit,Transport,Ride sharing,1,1,0
41,2025-10-17,471.64,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
42,2025-10-17,275.97,Ola,UPI,credit,Transport,Ride sharing,1,1,0
43,2025-10-16,1490.22,Electricity Bill,NEFT,debit,Utilities,Utility bill,1,1,0
44,2025-10-16,271.84,Ola,UPI,debit,Transport,Ride sharing,1,1,0
45,2025-10-15,529.3,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
46,2025-10-15,1232.43,Internet Bill,NEFT,credit,Uncategorized,Utility bill,1,1,0
47,2025-10-15,1184.81,Big Bazaar,Card,debit,Uncategorized,Grocery shopping,1,1,0
48,2025-10-13,4194.17,Insurance Premium,NEFT,debit,Rent/EMI,Insurance,1,1,0
49,2025-10-13,1044.17,Big Bazaar,Card,debit,Uncategorized,Grocery shopping,1,1,0
50,2025-10-13,330.65,Ola,UPI,credit,Transport,Ride sharing,1,1,0
51,2025-10-12,332.99,Starbucks,Card,debit,Food & Drink,Cafe,1,1,0
52,2025-10-12,575.57,PVR Cinemas,Card,debit,Uncategorized,Entertainment,1,1,0
53,2025-10-12,1780.2,Flipkart,UPI,debit,Shopping,Online shopping,1,1,0
54,2025-10-10,24603.86,Rent Payment,NEFT,debit,Rent/EMI,Monthly rent,1,1,1
55,2025-10-10,251.26,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
56,2025-10-10,237.25,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
57,2025-10-09,1377.75,Big Bazaar,Card,debit,Uncategorized,Grocery shopping,1,1,0
58,2025-10-09,1553.16,DMart,Card,debit,Groceries,Grocery shopping,1,1,0
59,2025-10-08,2247.82,Electricity Bill,NEFT,credit,Utilities,Utility bill,1,1,0
60,2025-10-07,302.82,McDonald's,Card,debit,Food & Drink,Fast food,1,1,0
61,2025-10-07,393.58,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
62,2025-10-05,470.73,McDonald's,Card,debit,Food & Drink,Fast food,1,1,0
63,2025-10-05,720.21,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
64,2025-10-04,297.22,McDonald's,Card,debit,Food & Drink,Fast food,1,1,0
65,2025-10-04,357.71,McDonald's,Card,debit,Food & Drink,Fast food,1,1,0
66,2025-10-03,1280.58,Internet Bill,NEFT,debit,Uncategorized,Utility bill,1,1,0
67,2025-10-03,483.58,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
68,2025-10-02,911.61,DMart,Card,debit,Groceries,Grocery shopping,1,1,0
69,2025-10-02,1865.32,Electricity Bill,NEFT,debit,Utilities,Utility bill,1,1,0
70,2025-09-30,407.35,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
71,2025-09-30,793.66,PVR Cinemas,Card,debit,Uncategorized,Entertainment,1,1,0
72,2025-09-29,581.73,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
73,2025-09-29,837.13,Flipkart,UPI,debit,Shopping,Online shopping,1,1,0
74,2025-09-29,550.48,PVR Cinemas,Card,debit,Uncategorized,Entertainment,1,1,0
75,2025-09-28,390.85,Uber,UPI,debit,Transport,Ride sharing,1,1,0
76,2025-09-28,435.67,Uber,UPI,credit,Transport,Ride sharing,1,1,0
77,2025-09-27,345.61,Ola,UPI,debit,Transport,Ride sharing,1,1,0
78,2025-09-26,564.73,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
79,2025-09-26,410.32,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
80,2025-09-24,616.5,PVR Cinemas,Card,debit,Uncategorized,Entertainment,1,1,0
81,2025-09-24,462.96,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
82,2025-09-24,405.82,Swiggy,UPI,debit,Food & Drink,Food delivery,1,1,0
83,2025-09-23,1378.24,Electricity Bill,NEFT,debit,Utilities,Utility bill,1,1,0
84,2025-09-23,372.14,Starbucks,Card,debit,Food & Drink,Cafe,1,1,0
85,2025-09-22,263.79,Starbucks,Card,credit,Food & Drink,Cafe,1,1,0
86,2025-09-21,1882.86,Big Bazaar,Card,debit,Uncategorized,Grocery shopping,1,1,0
87,2025-09-21,1251.53,Electricity Bill,NEFT,debit,Utilities,Utility bill,1,1,0
88,2025-09-20,854.0,Big Bazaar,Card,credit,Uncategorized,Grocery shopping,1,1,0
89,2025-09-20,589.83,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
90,2025-09-17,496.46,Mobile Recharge,IMPS,debit,Uncategorized,Mobile recharge,1,1,0
91,2025-09-17,2858.17,Insurance Premium,NEFT,debit,Rent/EMI,Insurance,1,1,0
92,2025-09-17,311.02,Ola,UPI,debit,Transport,Ride sharing,1,1,0
93,2025-09-16,492.21,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
94,2025-09-15,1725.35,DMart,Card,debit,Groceries,Grocery shopping,1,1,0
95,2025-09-15,533.37,Mobile Recharge,IMPS,credit,Uncategorized,Mobile recharge,1,1,0
96,2025-09-15,392.15,Swiggy,UPI,debit,Food & Drink,Food delivery,1,1,0
97,2025-09-14,15187.97,Rent Payment,NEFT,debit,Rent/EMI,Monthly rent,1,1,1
98,2025-09-14,358.06,Zomato,UPI,debit,Food & Drink,Food delivery,1,1,0
99,2025-09-13,761.2,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
100,2025-09-12,608.25,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
101,2025-09-12,2855.17,Insurance Premium,NEFT,debit,Rent/EMI,Insurance,1,1,0
102,2025-09-11,13818.56,Rent Payment,NEFT,debit,Rent/EMI,Monthly rent,1,1,1
103,2025-09-10,398.05,DTH Recharge,IMPS,debit,Uncategorized,TV subscription,1,1,0
104,2025-09-09,324.96,Uber,UPI,debit,Transport,Ride sharing,1,1,0
105,2025-09-08,1048.12,Electricity Bill,NEFT,debit,Utilities,Utility bill,1,1,0
106,2025-09-08,1659.7,Electricity Bill,NEFT,debit,Utilities,Utility bill,1,1,0
107,2025-09-08,1179.6,Big Bazaar,Card,debit,Uncategorized,Grocery shopping,1,1,0
